name,code,type,glottocode,glottolog_name
Mendeya,guk,subgroup,gumu1244,Northern Gumuz
Mbyá Guaraní,gun,subgroup,mbya1239,Mbyá Guaraní
Nguni (S.40),guni,subgroup,,
Gunwingguan Family,gunw,subgroup,,
Mayali,gup,subgroup,gunw1252,Bininj Kun-Wok
Gurma,gurm,subgroup,,
Kisii,guz,subgroup,gusi1247,Gusii
Kuku-Yalanji,gvn,language,kuku1273,Kuku-Yalanji
Koko Bididji,gvn-bid,dialect,,
Kuyani,gvy,language,guya1249,Guyani
Loucheux,gwi,subgroup,gwic1235,Gwich'in
Western Kutchin,gwi-ala,dialect,,
Guwamu,gwu,language,guwa1243,Guwamu
Gunin/Kwini,gww,subgroup,kwin1241,Kwini
Kayardild,gyd,language,kaya1319,Kayardild
Gungabula,gyf,subgroup,gung1248,Gungabula
Guaráyo,gyr,language,guar1292,Guarayu
Gunya,gyy,dialect,guny1241,Gunya
Han-Kutchin,haa,subgroup,hann1241,Han
Haidan Isolate,haid,subgroup,,
Han-Kutchin,hank,subgroup,,
Dene,harc,subgroup,,
Haisla,has,language,hais1244,Haisla
Eastern Hausa,hau-eas,dialect,,
North Hausa,hau-nor,dialect,,
Hausa,haus,subgroup,,
Western Hausa,hau-wes,dialect,,
Kaigani,hax,subgroup,sout2956,Southern Haida
Haya,hay,language,haya1250,Haya
Huichol,hch,subgroup,huic1243,Huichol
Masset,hdn,subgroup,nort2938,Northern Haida
Hehe,heh,language,hehe1240,Hehe
Heiltsuk-Oowekyala,hei,subgroup,heil1246,Heiltsuk-Oowekyala
Oowekeeno,hei-oow,dialect,,
Hellenic,hell,subgroup,,
Hemba,hem,language,hemb1242,Hemba-Yazi
Herero,her,language,here1253,Herero
Mbandieru,her-mba,dialect,,
Herero (R.30),hero,subgroup,,
Hidatsa,hid,language,hida1246,Hidatsa
Innoko,hoi,subgroup,holi1241,Holikachuk
Pueblo,hop,subgroup,hopi1249,Hopi
Pueblo,hopi,subgroup,,
Hadza,hts,language,hadz1240,Hadza
Wastekan,huas,subgroup,,
Huave,huav,subgroup,,
|Hua,huc,subgroup,hoaa1235,Amkoe
Huave,hue,subgroup,sanf1258,San Francisco del Mar Huave
Hoopa,hup,subgroup,hupa1239,Hupa-Chilula
Holkomelem,hur,subgroup,halk1245,Halkomelem
Musqueam,hur-mus,dialect,,
"Huastec, Veracruz",hus,subgroup,huas1242,Huastec
Wave,huv,language,sanm1287,San Mateo del Mar Huave
Wave,hve,language,sand1278,San Dionisio del Mar Huave
Wave,hvv,language,sant1422,Santa María del Mar Huave
Armani,hye,subgroup,nucl1235,Eastern Armenian
Sauk-Fox-Kickapoo,iaam,subgroup,,
Uwaidja,ibd,subgroup,iwai1244,Iwaidja
Idaxo,ida-ida,dialect,,
Indo-Portuguese,idb,subgroup,dama1278,Daman-Diu Portuguese
Indo-European,ieur,subgroup,,
Koto,igb-kot,dialect,,
"Inuktitut, Eastern Canadian",ike,subgroup,east2534,Eastern Canadian Inuktitut
Canadian Inuit,ikt,subgroup,west2618,Western Canadian Inuktitut
Shukulumbwe,ilb,subgroup,ilaa1246,Ila
Indo-Aryan,inda,subgroup,,
Ingalik,ing,language,dege1248,Degexit'an
Ingalik Cluster,inga,subgroup,,
Ingus,inh,subgroup,ingu1240,Ingush
Koyukon-Ingalik,inko,subgroup,,
Interior Salish,insa,subgroup,,
Inupiaq,inui,subgroup,,
Chiwere,iow,language,iowa1245,Iowa-Oto
Iranian,iran,subgroup,,
Mbulunge,irk,subgroup,iraq1241,Iraqw
Iruḷa,iru,subgroup,irul1243,Irula of the Nilgiri
Kasuba,iru-nor,dialect,,
Istriot,ist,language,istr1244,Istriot
Isu,isu,subgroup,isum1240,Isu (Menchum Division)
Italian,ita,subgroup,ital1282,Italian
Itelmen,itl,language,itel1242,West Itelmen
Itzaj,itz,language,itza1241,Itzá
Aguatec-Ixil,ixil,subgroup,,
"Ixil, San Juan Cotzal",ixl,subgroup,ixil1251,Ixil
Izhora,izh,subgroup,ingr1248,Ingrian
Aniula,jao,subgroup,yany1243,Yanyuwa
Yan-Nhangu,jay,subgroup,yann1237,Nhangu
Judeo-Berber,jbe,language,jude1262,Judeo-Berber
Eastern Tol,jic,language,toll1241,Tol
Jingulu,jig,language,djin1251,Jingulu
Yangman,jng,subgroup,yang1288,Yangman
Malinké,jod,subgroup,woje1238,Wojenaka
Japanese,jpn,language,nucl1643,Japanese
"Arabic, Judeo-Yemeni",jye,subgroup,jude1267,Judeo-Yemeni Arabic
Qarapulpaqs,kaa,subgroup,kara1467,Kara-Kalpak
West Greenlandic,kal,language,kala1399,Kalaallisut
Kalenjin,kale,subgroup,,
East Greenlandic,kal-eas,language,,
West Greenlandic,kal-wes,language,,
Kekamba,kam,subgroup,kamb1297,Kamba (Kenya)
Madrassi,kan,subgroup,nucl1305,Kannada
Kanyara,kany,subgroup,,
Kartu,kard,subgroup,,
Quoratean,kark,subgroup,,
Qazaqi,kaz,subgroup,kaza1248,Kazakh
Kalarko,kba,language,kala1379,Kalarko-Mirniny
Kabardian,kbd,language,kaba1278,Kabardian
Beslenei,kbd-bes,dialect,,
Cherkes,kbd-che,dialect,,
Kuban,kbd-kub,dialect,,
Malka,kbd-mal,dialect,,
Mozdok,kbd-moz,dialect,,
Kaantyu,kbe,subgroup,kanj1260,Kanju
Khanty,kca,language,khan1273,Kazym-Berezover-Suryskarer Khanty
Kanjobalan-Chujean,kchu,subgroup,,
Kami,kcu,language,kami1256,Kami (Tanzania)
Birrpayi,kda,language,wori1245,Worimi
Janggundjara,kdd,subgroup,yank1247,Yankunytjatjara
Chimakonde,kde,subgroup,mako1251,Makonde
Karamojong,kdj,language,kara1483,Karamojong
Dodos,kdj-dod,dialect,,
Jie,kdj-jie,dialect,,
Karaïm,kdr,subgroup,kara1464,Karaim
Kerewe,ked,subgroup,kere1283,Kerewe
"Keres, Eastern",kee,language,east1472,Eastern Keres
Qeqchí,kek,language,kekc1242,Kekchí
Cakchiquel-Pocomchi,kekc,subgroup,,
Kela,kel,language,kela1254,Kela (Democratic Republic of Congo)
Kele (B.20),kele,subgroup,,
Keres,kere,subgroup,,
Yenisei Ostyak,ket,subgroup,kett1243,Ket
Khurgi,kfa,subgroup,koda1255,Kodava
Kurumba,kfi,language,kann1253,"Kurumba, Kannada"
Kunggari,kgl,language,kung1258,Kunggari
Coombyngura,kgs,subgroup,kumb1268,Kumbainggar
Halh Mongolian,khk,subgroup,halh1238,Halh Mongolian
Khoe,khoe,subgroup,,
Hottentoten,khoi,subgroup,,
Kickapoo,kic,language,kick1244,Kickapoo
Kibeet,kie,subgroup,kibe1241,Kibet
Kitsai,kii,subgroup,kits1249,Kitsai
Kikuyu,kik,subgroup,kiku1240,Kikuyu
Karagas,kim,language,kara1462,Taiga Sayan Turkic
Rwanda,kin,language,kiny1244,Kinyarwanda
Kingkel,king,subgroup,,
Kiowan,kio,subgroup,kiow1266,Kiowa
Kiowa,kiow,subgroup,,
Kirghiz,kir,language,kirg1245,Kirghiz
Ikibungu,kiv,subgroup,kimb1242,Kimbu
Conob,kjb,subgroup,qanj1241,Q'anjob'al
Khakhass,kjh,subgroup,khak1248,Khakas
Beltir,kjh-bel,dialect,,
Kyzyl,kjh-kyz,dialect,,
Sagaj,kjh-sag,dialect,,
Shor,kjh-sho,dialect,,
Kun'djan,kjn,subgroup,kunj1245,Kunjen
Oykangand,kjn-oyk,dialect,,
"Keres, Western",kjq,subgroup,west2632,Western Keres
Eastern Kewa,kjs,subgroup,east2516,East Kewa
Kashaya,kju,language,kash1280,Kashaya
Kagulu,kki,language,kagu1239,Kagulu
Kungkara,kkp,subgroup,gugu1254,Gugubera
Guguyimidjir,kky,language,gugu1255,Guugu Yimidhirr
Nahani,kkz,subgroup,kask1239,Kaska
Klamath-Modoc,kla,language,klam1254,Klamath-Modoc
Quiligua,klb,subgroup,kili1268,Kiliwa
Gamilaraay,kld,subgroup,gami1243,Yuwaalaraay-Gamilaraay
Koinberi,kld-koi,dialect,,
Weraeria,kld-wer,dialect,,
Ualari,kld-yua,dialect,,
Yuwaalaraay,kld-yuw,dialect,,
Kulango,klgo,subgroup,,
Arghu Turkic,klj,subgroup,turk1303,Khalaj Turkic
Klamath,klmo,subgroup,,
Nandi,kln,subgroup,kale1246,Kalenjin
Mbundu,kmb,language,kimb1241,Kimbundu
"Kurdish, Northern",kmr,language,nort2641,Northern Kurdish
Khorasan Turkic,kmz,language,khor1269,Khorasan Turkic
Congo,kng,subgroup,koon1244,South-Central Koongo
Conob,knj,subgroup,west2635,Akateko
Marathi of Central and North Konkan,knn,subgroup,konk1267,Konkan Marathi
!Xung,knw,subgroup,kung1261,North-Central Ju
Kanyok,kny,language,kany1247,Kanyok
Kanyara,knya,subgroup,,
Koyo,koh,subgroup,koyo1242,Koyo
Komi-Permyak,koi,language,komi1269,Komi-Permyak
Koman,komn,subgroup,,
Konjo,koo,language,konz1239,Konzo
Ikuta,koq,subgroup,kota1274,Kota (Gabon)
Korean,kor,subgroup,kore1280,Korean
Korni,korn,subgroup,,
Ten'a,koy,subgroup,koyu1237,Koyukon
Kpalaga,kplg,subgroup,,
Komi Zyryan,kpv,subgroup,komi1268,Komi-Zyrian
Nymylan,kpy,subgroup,kory1246,Koryak
Kupsabiny,kpz-sab,dialect,,
Chikaonde,kqn,subgroup,kaon1241,Kaonde
!Ora,kqz,subgroup,kora1292,Korana
Karachay,krc,language,kara1465,Karachay-Balkar
Balkar,krc-bal,dialect,,
Koraga,krga,subgroup,,
Kerek,krk,subgroup,kere1280,Kerek
Karelian,krl,language,kare1335,Karelian
Karna Subgroup,krna,subgroup,,
Sambara,ksb,subgroup,sham1280,Shambala
Osage,ksk,language,kans1243,Kansa
Kusu,ksv,language,kusu1252,Kusu
Kokata,ktd,subgroup,koka1244,Kokata
Kalkutung,ktg,language,kalk1246,Kalkatungu
Ju|'hoan,ktz,language,juho1239,South-Eastern Ju
Kwanjama,kua,subgroup,kuan1247,Kuanyama
Kuliak,kulk,subgroup,,
Kulin,kuln,subgroup,,
Kumyk,kum,subgroup,kumy1244,Kumyk
Baaden,kun,subgroup,kuna1268,Kunama
Kurdish,kur,subgroup,kurd1259,Kurdish
Kurdish,kurd,subgroup,,
Kuri,kuri,subgroup,,
Kutenai,kut,language,kute1249,Kutenai
Kootenay,kute,subgroup,,
Upper Kuskokwim,kuu,language,uppe1438,Upper Kuskokwim
Peedong,kux,subgroup,kuka1246,Kukatja
Kunggara,kvs,language,kung1262,Kunggara
Kwa,kwaa,subgroup,,
Kwangwa (K.40),kwan,subgroup,,
Kwakiutl,kwk,language,kwak1269,Kwak'wala
Kwadi,kwz,language,kwad1244,Kwadi
Quoratean,kyh,subgroup,karo1304,Karuk
Lakantún,lac,language,laca1243,Lacandon
Langi,lag,language,lang1320,Langi
Lambia,lai,subgroup,lamb1272,Lambya
Bay Pama Subgroup,lamc,subgroup,,
Samic,lapp,subgroup,,
“Lettisch” ,lav,subgroup,latv1249,Latvian
Lak,lbe,subgroup,lakk1252,Lak
Lamalama,lby,subgroup,lamu1254,Lamalama
Lardil,lbz,language,lard1243,Lardil
Bisa,leb-bis,dialect,,
Chuncho Aleniano,lec,subgroup,leco1242,Leco
Chilenje,leh,subgroup,lenj1248,Lenje
Lega-Kalanga (D.20),leka,subgroup,,
Lencan,lenc,subgroup,,
Serkin,len-ser,language,,
Lezgian,lez,language,lezg1247,Lezgian
Ligwi,lig,subgroup,ligb1244,Ligbi
Lillooet,lil,language,lill1248,Lillooet
Lingala,lin,subgroup,ling1263,Kinshasa Lingala
Lithuanian,lit,language,lith1251,Lithuanian
Dolomite,lld,subgroup,ladi1250,Ladin
Miwok (Lake),lmw,subgroup,lake1258,Lake Miwok
Latarngit,lnj,subgroup,leni1238,Linngithigh
Otuho,lot,subgroup,otuh1238,Otuho
Lozi,loz,language,lozi1239,Lozi
Iroquois Proper,lptd,subgroup,,
Laragiya,lrg,subgroup,lara1258,Laragia
Lusengo,lse,language,luse1252,Lusengo
Letzburgisch,ltz,subgroup,luxe1241,Moselle Franconian
Luba (L.30),luba,subgroup,,
Luganda,lug,subgroup,gand1255,Ganda
Luiseño,lui,language,luis1253,Luiseno-Juaneño
Luo,luo,subgroup,luok1236,Luo (Kenya and Tanzania)
Puget Sound Salish,lut,subgroup,lush1252,Northern Lushootseed
Luyia,luyi,subgroup,,
Luyana,lyn,language,luya1241,Luyi
Samurzakan-Zugdidi,lzz-sam,dialect,,
Huautla-Mazatlán Masateko,maa,language,sanj1286,San Jerónimo Tecóatl Mazatec
Maba,maba,subgroup,,
Maghrebine,magh,subgroup,,
Maiduan,maid,subgroup,,
Jalapa Masateko,maj,language,jala1237,Jalapa De Díaz Mazatec
Malayalam,mal,subgroup,mala1464,Malayalam
Mandan,mann,subgroup,,
Masateko,maq,subgroup,chiq1250,Chiquihuitlán Mazatec
Marngu,marn,subgroup,,
Maasai,mas,language,masa1300,Masai
Masa Group,masa,subgroup,,
Arusa,mas-aru,dialect,,
Masaba-Luyia (J.30),masb,subgroup,,
Pirinda,mat,subgroup,sanf1262,San Francisco Matlatzinca
Huautla-Mazatlán Masateko,mau,subgroup,huau1238,Huautla Mazatec
Makua (P.30),maua,subgroup,,
Mampelle,maw,subgroup,mamp1244,Mampruli
Mayan,maya,subgroup,,
Masawa,maz,language,cent2144,Central Mazahua
Masateko,mazn,subgroup,,
Mbunda,mck,language,mbun1249,Mbunda
Micmac,mcmc,subgroup,,
Mangbutu,mdk,language,mang1396,Mangbutu
Delaware,mdmb,subgroup,,
Maarra,mec,subgroup,mara1385,Marra
Mangarla,mem,subgroup,mang1383,Mangala
Mende,men,language,mend1266,Mende (Sierra Leone)
Miriwoong,mep,subgroup,miri1266,Miriwung
Meru,meru,subgroup,,
Menominee,mez,subgroup,meno1252,Menominee
Mefele,mfj-mef,dialect,,
Muhura,mfj-muh,dialect,,
Sirak,mfj-ser,dialect,,
Shugule,mfj-shu,dialect,,
Marithiel,mfr,language,mari1424,Marithiel
Lund,mfv-lun,dialect,,
Mayo,mfy,dialect,mayo1264,Mayo
Icimambwe,mgr-mam,dialect,,
Northern Ojibwe,mgul,subgroup,,
Kimatengo,mgv,subgroup,mate1258,Matengo
Matumbi,mgw,subgroup,matu1259,Matumbi
Mbugwe,mgz,language,mbug1242,Mbugwe
Mochó,mhc,dialect,moch1257,Mocho
Ma'a,mhd,subgroup,mbug1240,Mbugu
Maraura,mhg,subgroup,marg1251,Margu
Mandan,mhq,subgroup,mand1446,Mandan
Piankishaw,mia,subgroup,miam1252,Miami
Miigmao,mic,subgroup,mikm1235,Mi'kmaq
Miccosukee,mik,subgroup,mika1239,Mikasuki
Padang,min,subgroup,mina1268,Minangkabau
Mije,mir,language,isth1238,Isthmus Mixe
Mirning,mirn,subgroup,,
Missouri River,misv,subgroup,,
Mixtecan Macro-Family,mixn,subgroup,,
Misteko,mixt,subgroup,,
Miyal Subgroup,miyl,subgroup,,
Miyan,miyn,subgroup,,
Mixe-Zoquean,mizo,subgroup,,
Konkow,mjd,language,nort2951,Northwest Maidu
Makaa-Njem (A.80),mknj,subgroup,,
"Mixed Language, Songhay-Berber",mlsb,subgroup,,
Maltese,mlt,subgroup,malt1254,Maltese
Masawa,mmc,subgroup,mich1246,Michoacán Mazahua
Manchu,mnc,subgroup,manc1252,Manchu
Mande,mnde,subgroup,,
Menominee,mnmn,subgroup,,
Mono,mnr,language,mono1275,Mono (USA)
jugra,mns,subgroup,mans1258,Northern Mansi
Micoolan,mnt,subgroup,mayk1239,Maykulan
Innu-Aimun,moe,subgroup,mont1268,Montagnais
Central Montagnais,moe-cen,language,,
Eastern Montagnais,moe-eas,dialect,,
Western Montagnais,moe-wes,dialect,,
Mohawk,moh,subgroup,moha1258,Mohawk
Momo,momo,subgroup,,
Mongolic,mong,subgroup,,
Mopán,mop,language,mopa1243,Mopán Maya
Mooré,mos,subgroup,moss1236,Mossi
Middle Pama,mpam,subgroup,,
Djiramo,mpb,subgroup,mull1237,Mullukmulluk
Mungerry,mpc,subgroup,mang1381,Mangarrayi
Maxineri,mpd,dialect,mach1268,Machinere
Gunmarung,mph,subgroup,maun1240,Mawng
Jigalong,mpj,subgroup,mart1256,Martu Wangka
Maori,mri,language,maor1246,Maori
Yaran,mrj-yar,dialect,,
Mirili Subgroup,mrli,subgroup,,
Innu,mtgn,subgroup,,
Nocten,mtp,dialect,wich1262,Wichí Lhamtés Nocten
Maritime Tsimshian,mtsi,subgroup,,
Northern Muskogean,mus,subgroup,cree1270,Creek
Yaakua,muu,subgroup,yaak1241,Yaaku
Mbara,mvl,subgroup,mbar1254,Mbara-Yanga
Mudbura,mwd,language,,
Murinkura,mwf,subgroup,murr1258,Murriny Patha
Kala Lagaw,mwp,subgroup,kala1377,Kala Lagaw Ya
Saibai,mwp-kal,dialect,,
Kaurareg,mwp-kaw,dialect,,
Jam,mwp-kul,dialect,,
Main Subgroup Wiradjuric,mwrc,subgroup,,
Manika,mxc,subgroup,many1258,Manyika
Mpongwe,mye-mpo,dialect,,
Maanyan,myh,subgroup,maka1318,Makah
Mordwinisch,myv,subgroup,erzy1239,Erzya
Lumasaba,myx,subgroup,masa1299,Masaaba
Gishu,myx-lug,dialect,,
Malimba,mzd,language,mali1280,Malimba
"Mazatec, Ixcatlán",mzi,subgroup,ixca1246,Ixcatlán Mazatec
Móbima,mzp,subgroup,movi1243,Movima
Deg,mzw,language,degg1238,Deg
Balgu,nad,subgroup,nija1242,Nijadali
Nahuatl (Milpa Alta),nah,subgroup,,
Ngan'gimerri,nam-nge,dialect,,
Nama,naq,subgroup,nama1264,Nama (Namibia)
Damara,naq-dam,dialect,,
Navaho,nav,subgroup,nava1243,Navajo
Jaralde,nay,subgroup,narr1259,Narrinyeri
Portaulun,nay-por,dialect,,
Ramindjerar,nay-ram,dialect,,
Tanganekald,nay-tan,dialect,,
Warki,nay-war,dialect,,
Ngarinyman,nbj,subgroup,ngar1235,Ngarinman
Pilinara,nbj-bil,dialect,,
Ndebele (in South Africa),nbl,subgroup,sout3270,South Transvaal Ndebele
Galali,nbx,language,ngur1261,Wilson River (Grey Range)
Bidjara,nbx-bid,dialect,,
Dhiraila,nbx-dhi,dialect,,
Garandala,nbx-gar,dialect,,
Galali,nbx-kal,dialect,,
Eromarra,nbx-nga,dialect,,
Ngurawarla,nbx-ngu,dialect,,
Bundhamara,nbx-pun,dialect,,
Wongkumara,nbx-won,dialect,,
Yarumarra,nbx-yar,dialect,,
Northern Caddoan,ncad,subgroup,,
Nisga'a,ncg,language,nisg1240,Nisga'a
Northern Nawa,ncj,dialect,nort2957,Northern Puebla Nahuatl
Nagara,nck,subgroup,naka1260,Nakara
North,ncus,subgroup,,
Sofala,ndc,subgroup,ndau1241,Ndau
Oshindonga,ndo,subgroup,ndon1254,Ndonga
Ndoro,ndor,subgroup,,
Neghidal,neg,subgroup,negi1245,Negidal
Northern Eastern Iranian,neir,subgroup,,
Nez Perce,nez,language,nezp1238,Nez Perce
Nafaanra,nfaa,subgroup,,
Ngbaka,nga,language,ngba1285,Ngbaka Minagende
Ngargo,ngar,subgroup,,
Ngombe,ngc,subgroup,ngom1268,Ngombe (Democratic Republic of Congo)
N||ng,ngh,language,nngg1234,N||ng
||Ng!ke,ngh-ngk,dialect,,
Nass-Gitksan,ngit,subgroup,,
Boun,ngk,subgroup,ngal1292,Ngalkbun
Ngult Subgroup,nglt,subgroup,,
Ngwo,ngn,language,ngwo1241,Ngwo
Ngwo,ngn-ngw,dialect,,
Kisutu,ngo,subgroup,,
Ngura Subgroup,ngra,subgroup,,
Ngumbin,ngum,subgroup,,
Eastern Nawa,nhe,dialect,east2538,Eastern Huasteca Nahuatl
Noanamaronga,nhf,subgroup,nhuw1239,Nhuwala
Isthmus,nhk,dialect,isth1240,Isthmus-Cosoleacaque Nahuatl
Central Nawa,nhn,dialect,cent2132,Tlaxcala-Puebla-Central Nahuatl
Isthmus,nhp,subgroup,isth1241,Isthmus-Pajapan Nahuatl
Naro,nhr,language,naro1249,Naro
Western Nawa,nhw,dialect,west2624,Western Huasteca Nahuatl
Isthmus,nhx,dialect,isth1242,Isthmus-Mecayapan Nahuatl
Northern Nawa,nhy,dialect,nort2958,Northern Oaxaca Nahuatl
Ngandi,nid,language,ngan1295,Ngandi
Nyiha,nih,language,nyih1240,Nyiha (Tanzania)
Nilotischen Sprachen,nilc,subgroup,,
Tawgy,nio,subgroup,ngan1291,Nganasan
Nivkhi,niv,subgroup,gily1242,Amur Nivkh
Hema,nix,language,hema1238,Hema
Nyanja (N.30),njan,subgroup,,
Ngadjunmaya,nju,language,ngad1258,Ngadjunmaya
Njyem,njy,language,njye1238,Njyem
Ngerla,nlr,subgroup,ngar1286,Ngarla on the Ashburton river south of the Hamersley range
Nyamal,nly,language,nyam1271,Nyamal
Widugari,nly-wid,dialect,,
Ndumu,nmd,language,ndum1239,Ndumu
Ngumba,nmg,language,kwas1243,Kwasio
!Xóõ,nmn,subgroup,huaa1248,East Taa
/Auni,nmn-aun,dialect,,
Nimanburru,nmp,subgroup,nima1245,Nimanbur
Karangura,nmv,language,ngam1265,Ngamini-Yarluyandi-Karangura
Pijikala,nna,subgroup,nyan1301,Nyangumarta
Peedong,nna-bid,dialect,,
Nandi,nnb,subgroup,nand1264,Nande
Narangga,nnr,language,naru1238,Narungga
Doora,nnv,subgroup,nugu1241,Nugunu (Australia)
Yangkaal,nny,language,nyan1300,Yangkaal
Noghay,nog,language,noga1249,Nogai
Nootka,noo,subgroup,noot1239,Nootka
Nitinat,noo-nit,dialect,,
Northern Pama,npam,subgroup,,
Norman Pama,npma,subgroup,,
Nara,nrb,language,nara1262,Nara
Ngarluma,nrl,language,ngar1287,Ngarluma
Northern Group,nrur,subgroup,,
Gnumbu,nrx,subgroup,ngur1260,Ngurmbur
Nilo-Saharan,nsah,subgroup,,
Chinsenga,nse,subgroup,nsen1242,Nsenga
Nass-Gitksan,nsg,subgroup,ngas1238,Ngasa
Eastern Naskapi,nsk,subgroup,nask1242,Naskapi
Eastern Naskapi,nsk-eas,language,,
Naskapi,nskp,subgroup,,
Western Naskapi,nsk-wes,language,,
"Sotho, Northern",nso,language,pedi1238,Pedi
Kopa,nso-kop,dialect,,
Northern Sotho,nsot,subgroup,,
"Miwok, Northern Sierra",nsq,subgroup,nort2968,Northern Sierra Miwok
Northern Tiwa,ntiw,subgroup,,
Ngaanyatjarra,ntj,language,ngaa1240,Ngaanyatjarra
Soko,nto-sok,dialect,,
Nubian,nubn,subgroup,,
Nungali,nug,subgroup,nung1291,Nungali
Nupe,nupe,subgroup,,
Wubuy ,nuy,language,nung1290,Wubuy
Northern Wakashan,nwak,subgroup,,
Northwestern Western Mande,nwwm,subgroup,,
Nindi,nxi,subgroup,nind1242,Nindi
Nyanja,nya,language,nyan1308,Nyanja
Nyakyusa (M.30),nyak,subgroup,,
Nyang,nyan,subgroup,,
Peta,nya-pet,dialect,,
Giryama,nyf,language,giry1241,Giryama
Wanji,nyh,subgroup,nyig1240,Nyigina
Nyika (E.40),nyik,subgroup,,
Nyamwezi,nym,language,nyam1276,Nyamwezi
Toode-nunjer,nys-bal,dialect,,
Juat,nys-jua,dialect,,
Kalamai,nys-kal,dialect,,
Kaniyan,nys-kan,dialect,,
Koreng,nys-kor,dialect,,
Minang,nys-min,dialect,,
Nyakinyaki,nys-nya,dialect,,
Pibelman,nys-pib,dialect,,
Pinjarra,nys-pin,dialect,,
Wardandi,nys-war,dialect,,
Weal,nys-wii,dialect,,
Wudjari,nys-wud,dialect,,
Nyawaygi,nyt,language,nyaw1247,Nyawaygi
Nyungwe,nyu,language,nyun1248,Nyungwe
Nyungar,nyun,subgroup,,
Nyulnyul,nyv,subgroup,nyul1247,Nyulnyul
Nganyaywana,nyx,language,ngan1296,Nganyaywana
Nyakyusa-Ngonde,nyy,language,nyak1260,Nyakyusa-Ngonde
Nama,nza-nam,dialect,,
Uilta,oaa,subgroup,orok1265,Orok
Oroć,oac,subgroup,oroc1248,Oroch
Oceanic,ocea,subgroup,,
Okwilteko,ocu,language,atzi1235,Atzingo Matlatzinca
English based,oebc,subgroup,,
French based,ofbc,subgroup,,
Ojibwa,ojb,subgroup,nort2961,Northwestern Ojibwa
Ojibwa,ojc,subgroup,cent2136,Central Ojibwa
Ojibwa,ojg,subgroup,east2542,Eastern Ojibwa
Ojibwayan,ojib,subgroup,,
Ojibwa,ojs,subgroup,seve1240,Severn Ojibwa
Saulteaux,ojw,language,west1510,Western Ojibwa
Colville-Okanagan,oka,subgroup,okan1243,Okanagan
Okiek,oki,language,okie1245,Okiek
Old Algonquin,olda,subgroup,,
Omaha-Ponca,oma,language,omah1247,Omaha-Ponca
Minoan,omn,language,mino1236,Minoan
Omotic,omot,subgroup,,
Oneida,one,language,onei1249,Oneida
Onandaga,ono,subgroup,onon1246,Onondaga
Pima-Pápago,ood,dialect,toho1245,Tohono O'odham
Oregon,oreg,subgroup,,
Oromo,orom,subgroup,,
Osage,osa,language,osag1243,Osage
Ossetian,oss,subgroup,iron1242,Iron Ossetian
Oto-Manguean Phylum,otma,subgroup,,
Otomian,otmn,subgroup,,
Otomi,otom,subgroup,,
Otopamean,otop,subgroup,,
Ottawa,otw,language,otta1242,Ottawa
!O !Kung,oun,subgroup,oung1238,!O!ung
Palaik,palh,subgroup,,
Pame,pame,subgroup,,
Northern Paiute,pao,language,nort2954,Northern Paiute
Panamint,par,language,pana1305,Panamint
Grand Pawnee,paw,subgroup,pawn1254,Pawnee
Chocho-Popoloka,pbe,language,mezo1235,Mezontla Popoloca
Popoloca,pbf,subgroup,coyo1236,Coyotepec Popoloca
Pangwa,pbr,language,pang1287,Pangwa
Central Pame,pbs,language,cent2145,Central Pame
Chocho-Popoloka,pca,language,sant1454,Santa Inés Ahuatempan Popoloca
Picard,pcd,subgroup,pica1241,Picard
Pacahuara,pcp,language,paca1246,Pacahuara
Pomo (Eastern),peb,subgroup,east2545,Eastern Pomo
Chichimec,pei,subgroup,chic1272,Chichimeca-Jonaz
Redwood Cañon,pej,subgroup,nort2966,Northern Pomo
Southern Pomo,peq,language,sout2984,Southern Pomo
"Farsi, Western",pes,language,west2369,Western Farsi
"Arabic, Sudanese Creole",pga,language,suda1237,South Sudanese Creole Arabic
Primitive Irish,pgl,language,,
Phoenician,phn,subgroup,phoe1239,Phoenician
Mountain Pima,pia,dialect,pima1248,Pima Bajo
Pini,pii,subgroup,pini1248,Pini
Pipil,pipi,subgroup,,
Pitta Pitta,pit,language,pitt1247,Pitta Pitta
Pintupi-Luritja,piu,language,pint1250,Pintupi-Luritja
Mulatara,pjt,subgroup,pitj1243,Pitjantjatjara
Pitjantjatjara,pjt-pit,dialect,,
Jangkundjara,pjt-yan,dialect,,
Pökoot,pko,subgroup,poko1263,Pökoot
Northern Popoloka,pls,dialect,sanm1301,San Marcos Tlalcoyalco Popoloca
Northern Pame,pmq,language,nort2984,Northern Pame
Pame,pmz,subgroup,sout2999,Southern Pame
Standard Lahnda,pnb,subgroup,west2386,Western Panjabi
Binnigoora,pnv,subgroup,pini1244,Pinigura
Panjtjima,pnw,subgroup,pany1241,Panytyima
Poqomam,poc,language,poqo1253,Poqomam
Eastern Popoloka,poe,dialect,sanj1285,San Juan Atzingo Popoloca
Pokomchi,poh,subgroup,poqo1254,Poqomchi'
Pokomo,poko,subgroup,,
Polish,pol,subgroup,poli1260,Polish
Kaszuby,pol-kaz,dialect,,
Malbork-Lubawa,pol-mal,dialect,,
Mazovian,pol-maz,dialect,,
Silesian,pol-sil,dialect,,
Wielkopolska,pol-wie,dialect,,
Oat Valley,poo,subgroup,cent2138,Central Pomo
Popoloca,popn,subgroup,,
Popoloca,popo,subgroup,,
Portuguese,por,language,port1283,Portuguese
